Name,Price
iPhone 16 Pro Max,34.990.000₫
iPhone 16 Pro,28.990.000₫
iPhone 16 Plus,25.990.000₫
iPhone 16,22.990.000₫
Xiaomi Redmi Note 13,5.290.000₫
realme C65,4.790.000₫
Samsung Galaxy Z Fold6 5G,41.990.000₫
Samsung Galaxy A55 5G,11.990.000₫
Samsung Galaxy Z Flip6 5G,26.990.000₫
Samsung Galaxy S23 Ultra 5G,23.990.000₫
vivo Y28,5.790.000₫
Samsung Galaxy M15 5G,4.690.000₫
Samsung Galaxy M35 5G 8GB/256GB,8.790.000₫
Xiaomi Redmi Note 13 Pro,7.290.000₫
Xiaomi Redmi 13,4.290.000₫
OPPO A3x,3.490.000₫
Xiaomi Redmi 14C,3.490.000₫
Samsung Galaxy M54 5G 8GB/256GB,8.490.000₫
realme Note 50,2.490.000₫
Samsung Galaxy S23 FE 5G,12.390.000₫
